BL-DLA-2-AUDIT — Auditoría de éxito del serializador DLA-2
Ejecutado: 2026-05-24 12:46:50
project_root: C:\desarrollo\fondos
CSV:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.csv
Log:          C:\desarrollo\fondos\proyecto1\db\dla2_serializer_audit.log

======================================================================
  MODO descarga (BD + Excel maestro)
======================================================================
  Excel maestro                           : C:\data\fondos\in\GestoresDeFondosv1.xlsx
  [151/3204] IE0002639668                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [152/3204] IE0002639775                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [153/3204] IE0002WUFTE7                 : FAIL_NONE      strat=none fmt=NONE
  [154/3204] IE0003323494                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [155/3204] IE0003NS1VX6                 : FAIL_NONE      strat=none fmt=NONE
  [156/3204] IE0004445015                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [157/3204] IE0004445239                 : WARN_EUR_ONLY  strat=pdfplumber fmt=EUR
  [158/3204] IE0005023803                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [159/3204] IE0005023910                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [160/3204] IE0005300136                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [161/3204] IE0005300243                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [162/3204] IE0005300912                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [163/3204] IE0005302959                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [164/3204] IE0005304773                 : OK_HEURISTIC   strat=heuristic_lines fmt=PCT
  [165/3204] IE0006ZM35T5                 : FAIL_NONE      strat=none fmt=NONE
  [166/3204] IE0007201266                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [167/3204] IE0007286036                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [168/3204] IE0007471471                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [169/3204] IE0007471927                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [170/3204] IE0007472990                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [171/3204] IE0007987690                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [172/3204] IE0007987708                 : WARN_NO_OC     strat=heuristic_lines fmt=PCT
  [173/3204] IE0007SUF6S0                 : FAIL_NONE      strat=pdfplumber fmt=NONE
  [174/3204] IE0008365516                 : FAIL_NONE      strat=pdfplumber fmt=NONE
